date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
6/13/2014,7823633.071,2121,44453800,10.64,426354,2910,2.77869405
6/14/2014,2815783.858,1867,46763800,10.24,514834,2819,2.36846862
6/15/2014,2850451.74,1477,44895900,10.35,274260,2804,1.78740037
6/16/2014,1098819.346,1422,44871400,10.13,427550,2999,1.81317498
6/17/2014,3383199.832,1430,44424600,10.21,305768,2798,1.8235016
6/18/2014,4389699.163,1710,45190900,10.22,475249,2840,2.77828564
6/19/2014,8350064.723,1747,44912000,10.97,589450,2804,2.90881173
6/20/2014,4241793.498,1758,48306500,10.34,4047720,2858,3.08420244
6/21/2014,7185217.524,2060,45082300,9.29,1003310,2830,3.44839121
6/22/2014,1978611.976,1709,40952800,9.46,287288,2888,2.71664884
6/23/2014,1259957.878,1662,41650300,9.8,345384,3150,3.54370094
6/24/2014,2477923.399,1540,43214300,9.44,327520,2879,2.14822384
6/25/2014,457615.7493,1388,41587200,8.99,243528,2748,1.67913886
6/26/2014,657088.7167,1410,39622400,10,942175,2745,1.61971135
6/27/2014,22239344.38,1651,44475800,10.09,362067,2768,2.36400926
6/28/2014,1674448.417,1298,43494000,9.53,287441,2769,1.7699979
6/29/2014,1607818.087,1167,42086500,9.23,262898,2745,1.7227036
6/30/2014,1476254.611,1220,40669900,8.93,1216120,2742,1.68174826
7/1/2014,5668631.037,1515,39564800,7.9,689084,2765,3.38876621
7/2/2014,3274766.964,1449,35317900,6.99,1070360,2750,3.32465451
7/3/2014,6785123.682,1473,31051700,7.82,946899,2750,2.53184612
7/4/2014,5328122.361,1324,34491300,7.56,250875,2711,2.22388566
7/5/2014,2209807.407,1143,33295300,7.12,414546,2789,1.28929011
7/6/2014,2094393.254,1190,31701100,6.66,349136,2819,1.93519265
7/7/2014,1888137.887,1309,29664700,6.53,237262,2929,2.0102085
7/8/2014,4415708.402,1281,31048700,7.17,578868,2952,1.58070993
7/9/2014,1902070.14,1337,31920700,7.1,255938,2757,1.75098271
7/10/2014,769362.8663,1191,31652000,6.79,299842,2929,1.50128611
7/11/2014,823264.8602,1279,30178400,6.52,354126,3217,2.03774645
7/12/2014,758840.4612,1130,29318500,6.54,136625,2921,1.73034215
7/13/2014,319270.6062,1188,29207800,6.35,189565,3005,1.29918351
7/14/2014,914190.7088,1222,28401500,6.2,255024,2993,2.43401226
7/15/2014,977596.2542,1328,27620600,6.3,388889,3039,2.74244259
7/16/2014,663261.5224,1349,28261700,6.35,351827,3119,2.04904153
7/17/2014,1519599.378,1335,28560700,7.44,699285,3269,2.13668235
7/18/2014,2391457.644,1546,33232100,7.21,729493,3031,2.82666647
7/19/2014,1842139.033,1282,32320400,7.06,99443,2930,1.95420479
7/20/2014,415672.054,1159,31670100,7.11,137239,3059,1.59667083
7/21/2014,512025.93,1114,31914400,6.77,121175,2763,1.62582884
7/22/2014,1717919.427,1281,30373400,6.41,183517,2872,1.89375211
7/23/2014,569318.6348,1365,28768400,6.37,134307,2749,1.78964269
7/24/2014,2231053.164,1140,28622700,6.18,167948,2841,1.55906864
7/25/2014,952875.3605,1056,27805400,6.07,234015,2794,1.88911275
